Countries,Trade openness,2019,Global rank,Available data
Luxembourg,377.84,1,"1970 - 2021"
Hong Kong,353.76,2,"1961 - 2021"
Singapore,321.81,3,"1960 - 2021"
Djibouti,320.94,4,"2013 - 2020"
San Marino,307.26,5,"2015 - 2020"
Malta,275.29,6,"1970 - 2021"
Ireland,252.25,7,"1970 - 2021"
Seychelles,217.79,8,"1976 - 2021"
Slovakia,183.48,9,"1990 - 2021"
UA Emirates,167.38,10,"2001 - 2020"
Vietnam,164.7,11,"1986 - 2021"
Belgium,164.18,12,"1970 - 2021"
Hungary,160.78,13,"1991 - 2021"
Slovenia,158.8,14,"1995 - 2021"
Netherlands,155.27,15,"1969 - 2021"
Cyprus,151.96,16,"1975 - 2021"
Lithuania,149.33,17,"1995 - 2021"
Maldives,147.85,18,"1980 - 2021"
Aruba,145.01,19,"1995 - 2021"
Estonia,143.75,20,"1995 - 2021"
Czechia,141.77,21,"1990 - 2021"
Bahrain,141.7,22,"1980 - 2020"
Ant.& Barb.,139.41,23,"1993 - 2020"
North Macedonia,138.58,24,"1990 - 2021"
Lesotho,135.47,25,"1960 - 2021"
Belarus,130.85,26,"1990 - 2021"
R. of Congo,126.96,27,"1960 - 2021"
Bulgaria,124.64,28,"1980 - 2021"
Mongolia,124.4,29,"1981 - 2021"
Switzerland,124.13,30,"1980 - 2021"
Cambodia,123.56,31,"1960 - 2021"
Malaysia,123.03,32,"1960 - 2021"
Latvia,120.29,33,"1995 - 2021"
Kiribati,119.89,34,"1972 - 2021"
Georgia,118.6,35,"1990 - 2021"
Cape Verde,115.91,36,"1980 - 2021"
Macao,114.39,37,"1982 - 2021"
Mozambique,112,38,"1991 - 2021"
Serbia,111.95,39,"1995 - 2021"
Denmark,110.22,40,"1966 - 2021"
Thailand,109.67,41,"1960 - 2021"
Montenegro,108.84,42,"2000 - 2021"
Brunei,108.51,43,"1974 - 2021"
Faroe Isl.,108.32,44,"1998 - 2021"
Austria,107.89,45,"1970 - 2021"
Puerto Rico,107.59,46,"1971 - 2021"
Fiji,106.68,47,"1980 - 2021"
Micronesia,104.95,48,"1983 - 2021"
Poland,102.69,49,"1995 - 2021"
Tunisia,102.33,50,"1965 - 2021"
Croatia,101.6,51,"1995 - 2021"
Somalia,101.06,52,"1960 - 2021"
Belize,100.93,53,"1980 - 2021"
Vanuatu,99.38,54,"1980 - 2021"
Kyrgyzstan,99.37,55,"1990 - 2021"
Kuwait,98.18,56,"1965 - 2019"
Honduras,98.03,57,"1960 - 2021"
Mauritius,96.29,58,"1976 - 2021"
Mauritania,96.18,59,"1961 - 2021"
Armenia,96.11,60,"1990 - 2021"
Bosnia & Herz.,95.83,61,"1994 - 2021"
Eq. Guinea,94.88,62,"2005 - 2021"
Nicaragua,94.68,63,"1960 - 2021"
Sweden,91.43,64,"1960 - 2021"
Ukraine,90.51,65,"1989 - 2021"
Qatar,90.32,66,"1994 - 2021"
Jamaica,90.11,67,"1960 - 2021"
Swaziland,88.61,68,"1960 - 2021"
Germany,87.69,69,"1970 - 2021"
Tonga,87.17,70,"1975 - 2021"
Portugal,86.56,71,"1970 - 2021"
Oman,86.48,72,"1967 - 2021"
Moldova,85.9,73,"1995 - 2021"
Azerbaijan,85.82,74,"1990 - 2021"
Panama,84.98,75,"1960 - 2021"
Jordan,84.75,76,"1976 - 2021"
Romania,84.5,77,"1990 - 2021"
Iceland,84.21,78,"1970 - 2021"
Samoa,83.33,79,"2002 - 2021"
Botswana,83.24,80,"1960 - 2021"
Solomon Isl.,83,81,"1980 - 2021"
Namibia,82.9,82,"1980 - 2021"
Bhutan,82.13,83,"1980 - 2021"
Greece,81.88,84,"1960 - 2021"
Finland,79.61,85,"1970 - 2021"
Guinea,78.42,86,"1986 - 2021"
Libya,78.21,87,"1990 - 2019"
Mexico,77.9,88,"1960 - 2021"
Bermuda,77.56,89,"2010 - 2021"
Ghana,76.82,90,"1960 - 2021"
Albania,76.28,91,"1984 - 2021"
El Salvador,76.04,92,"1965 - 2021"
Morocco,76,93,"1960 - 2021"
South Korea,75.76,94,"1960 - 2021"
Chad,74.57,95,"1960 - 2021"
Barbados,74.45,96,"1975 - 2021"
Gabon,73.43,97,"1960 - 2021"
Uzbekistan,72.86,98,"1997 - 2021"
Bahamas,71.92,99,"1977 - 2021"
Paraguay,71.33,100,"1965 - 2021"
Norway,71.04,101,"1970 - 2021"
Iraq,68.99,102,"1970 - 2021"
Palestine,68.99,103,"1994 - 2021"
Philippines,68.84,104,"1981 - 2021"
Zambia,68.79,105,"1994 - 2021"
Spain,66.87,106,"1970 - 2021"
Costa Rica,65.76,107,"1960 - 2021"
Canada,65.41,108,"1961 - 2021"
Kazakhstan,64.86,109,"1992 - 2021"
Senegal,64.25,110,"1960 - 2021"
France,64.14,111,"1960 - 2021"
UK,64.13,112,"1970 - 2021"
Benin,63.68,113,"1960 - 2021"
Mali,63.66,114,"1967 - 2021"
Saudi Arabia,62.82,115,"1968 - 2021"
Turkey,62.69,116,"1960 - 2021"
Madagascar,62.6,117,"1960 - 2021"
Lebanon,62.56,118,"1989 - 2021"
Burma,60.69,119,"2010 - 2021"
Italy,59.88,120,"1970 - 2021"
Burkina Faso,58.66,121,"1960 - 2019"
Rwanda,57.94,122,"1960 - 2021"
Angola,57.83,123,"2000 - 2021"
Chile,57.53,124,"1960 - 2021"
Bolivia,56.4,125,"1960 - 2021"
Israel,56.35,126,"1995 - 2021"
Sierra Leone,56.19,127,"1964 - 2021"
Tajikistan,56.05,128,"1993 - 2020"
G.-Bissau,55.37,129,"1970 - 2020"
DR Congo,55.24,130,"1994 - 2021"
Togo,54.37,131,"1960 - 2021"
New Zealand,54.34,132,"1971 - 2021"
South Africa,54.05,133,"1960 - 2021"
Gambia,53.27,134,"1966 - 2021"
Zimbabwe,52.69,135,"1975 - 2021"
Algeria,51.81,136,"1960 - 2021"
Domin. Rep.,51.01,137,"1960 - 2021"
Iran,50.75,138,"1960 - 2021"
C.A. Republic,50.07,139,"1960 - 2021"
Uruguay,49.61,140,"1960 - 2021"
Sri Lanka,49.43,141,"1960 - 2021"
Nepal,49.25,142,"1965 - 2021"
Russia,49.23,143,"1989 - 2021"
Haiti,49.16,144,"1988 - 2021"
Peru,46.94,145,"1960 - 2021"
Ivory Coast,46.4,146,"1960 - 2021"
Ecuador,46.08,147,"1960 - 2021"
Australia,45.83,148,"1960 - 2021"
Guatemala,45.52,149,"1960 - 2021"
Cameroon,43.38,150,"1965 - 2021"
Egypt,43.24,151,"1965 - 2021"
Comoros,42.27,152,"1980 - 2021"
Syria,42,153,"1960 - 2020"
India,39.96,154,"1960 - 2021"
Uganda,39.36,155,"1960 - 2021"
Niger,37.71,156,"1960 - 2021"
Indonesia,37.63,157,"1967 - 2021"
Colombia,37.56,158,"1960 - 2021"
China,35.89,159,"1960 - 2021"
Japan,35.18,160,"1970 - 2021"
Nigeria,34.02,161,"1960 - 2021"
Tanzania,32.96,162,"1990 - 2021"
Argentina,32.63,163,"1962 - 2021"
Kenya,31.76,164,"1960 - 2021"
Bangladesh,31.58,165,"1960 - 2021"
Burundi,29.03,166,"1960 - 2021"
Pakistan,28.91,167,"1960 - 2021"
Brazil,28.89,168,"1960 - 2021"
Ethiopia,28.82,169,"2011 - 2021"
USA,26.45,170,"1970 - 2021"
Sudan,1.22,171,"1960 - 2021"
